id,title,author,publication_year,file_type,fragment,issue_number,periodicity,main_theme,edition,articles
M001,National Geographic,Equipo Editorial,2025,magazine,"Los arrecifes de coral del Pacífico presentan nuevos brotes gracias a proyectos de restauración comunitaria.",78,monthly,Naturaleza,Mayo 2025,"El renacer del coral;Expedición al Ártico;Fotografía nocturna;Tecnología satelital"
M002,Scientific American,Redacción SA,2025,magazine,"La edición analiza los últimos avances en computación cuántica y su potencial para revolucionar la criptografía.",1123,monthly,Ciencia,Abril 2025,"Puertas lógicas cuánticas;Cripto a prueba de futuro;Entrelazamiento y comunicaciones;Retos del hardware"
M003,Time,Time Staff,2025,magazine,"En un mundo post-pandemia, el enfoque en salud mental ha cobrado un nuevo sentido global.",48,weekly,Actualidad,Junio 8, 2025,"Recuperando el bienestar;Líderes del cambio;Economía global;Innovaciones médicas"
M004,The Economist,Equipo Editorial,2025,magazine,"La restauración de cadenas de suministro tras la crisis logística global está remodelando el comercio internacional.",9417,weekly,Economía,Junio 7–13, 2025,"La nueva ruta de los puertos;Inflación persistente;Energías renovables;Política de tasas"
M005,Rolling Stone,Staff RS,2025,magazine,"La gira de la banda ‘Aurora Boreal’ ha redefinido la experiencia en vivo con un espectáculo inmersivo de luces y sonido.",732,monthly,Música,Mayo 2025,"Aurora Boreal en vivo;El auge del synth-pop;Entrevista con Leyenda;Reseñas de álbumes"
M006,Forbes,Equipo Forbes,2025,magazine,"El surgimiento de startups latinoamericanas en el sector fintech está atrayendo inversiones multimillonarias.",202,bi-monthly,Negocios,Abril–Mayo 2025,"Fintech latino;CEO en primera persona;Tendencias de inversión;Mercados emergentes"
M007,Vogue,Redacción Vogue,2025,magazine,"La pasarela de primavera-verano presenta tejidos biodegradables y un retorno a siluetas minimalistas.",128,monthly,Moda,Junio 2025,"Tendencias ecológicas;Entrevista a diseñador;Belleza sostenible;Accesorios clave"
M008,Scientific American Historia,Equipo SA Historia,2024,magazine,"El artículo central explora el impacto de la Ruta de la Seda en la transferencia de conocimientos astronómicos.",34,quarterly,Historia,Otoño 2024,"Imperios comerciantes;Invención del astrolabio;Cartografía antigua;Legado cultural"
M009,IEEE Spectrum,IEEE Staff,2025,magazine,"La aplicación de inteligencia artificial en robótica quirúrgica está logrando precisión submilimétrica.",62,monthly,Tecnología,Junio 2025,"Robótica médica;Redes neuronales;Ética y AI;Impresión 3D de órganos"
M010,National Review,Equipo NR,2025,magazine,"Los debates sobre políticas migratorias han escalado en varios parlamentos europeos durante las últimas semanas.",78,bi-weekly,Política,Junio 1–15, 2025,"Migración y economía;Entrevista a eurodiputado;Sistemas de asilo;Estadísticas recientes"
